time	acceleration
4.84	0.1723292900
4.86	-0.1407186000
4.88	-0.1018680300
4.90	-0.1111473000
4.92	-0.0924867840
4.94	-0.0478239300
4.96	-0.1274625000
4.98	-0.2151566900
5.00	-0.1651913900
5.02	-0.1723292900
5.04	-0.1335807000
5.06	-0.1131867000
5.08	-0.0788228100
5.10	-0.0520046980
5.12	-0.0554716800
5.14	-0.1223640000
5.16	-0.1233837000
5.18	-0.1182852000
5.20	-0.1172655000
5.22	-0.0731124840
5.24	-0.0556756170
5.26	0.0065260799
5.28	-0.0819838790
5.30	-0.1662110900
5.32	-0.0875922290
5.34	-0.0979931650
5.36	-0.0403801170
5.38	-0.0149895890
5.40	0.0325284280
5.42	0.0660765610
5.44	0.0893257150
5.46	0.0481298390
5.48	0.0201900590
5.50	-0.0027531900
5.52	0.0297752400
5.54	0.0453766480
5.56	0.0800464470
5.58	0.1050291000
5.60	0.1376595000
5.62	0.1641716900
5.64	0.1896641900
5.66	0.1305216000
5.68	0.0652607980
5.70	0.0208018790
5.72	0.0320185790
5.74	0.0380348080
5.76	0.0505771170
5.78	0.0239629490
5.80	-0.0085654793
5.82	-0.0171309590
5.84	-0.0115226100
5.86	-0.0233511290
5.88	-0.0252885580
5.90	-0.0160092890
5.92	-0.0070359299
5.94	0.0149895890
5.96	0.0386466300
5.98	0.0590406300
6.00	0.0260023490
6.02	-0.0041807698
6.04	-0.0436431580
6.06	-0.0135620100
6.08	0.0096871497
6.10	0.0234530990
6.12	-0.0131541290
6.14	-0.0050984998
6.16	0.0081575997
6.18	0.0214136990
6.20	0.0387485990
6.22	0.0520046980
6.24	0.0160092890
6.26	-0.0032630399
6.28	-0.0113186700
6.30	0.0005098500
6.32	0.0077497196
6.34	0.0035689499
6.36	-0.0096871497
6.38	-0.0036709198
6.40	-0.0016315200
6.42	0.0038748598
6.44	0.0086674497
6.46	-0.0057103197
6.48	-0.0309988790
6.50	-0.0429293670
6.52	-0.0248806790
6.54	-0.0240649200
6.56	-0.0180486900
6.58	-0.0131541290
6.60	-0.0018354599
6.62	0.0206999090
6.64	-0.0110127600
6.66	-0.0092792701
6.68	-0.0034669800
6.70	-0.0108088200
6.72	-0.0113186700
6.74	-0.0100950290
6.76	-0.0002039400
6.78	0.0074438099
6.80	0.0239629490
6.82	0.0361993490
6.84	0.0718888480
6.86	0.0794346290
6.88	0.0187624790
6.90	-0.0268181080
6.92	-0.0126442790
6.94	-0.0042827397
6.96	0.0162132290
6.98	0.0048945600
7.00	-0.0223314290
7.02	-0.0476199890
7.04	-0.0436431580
7.06	-0.0220255200
7.08	-0.0043847100
7.10	0.0162132290
7.12	0.0326303990
7.14	0.0427254300
7.16	0.0125423100
7.18	-0.0163151990
7.20	-0.0208018790
7.22	-0.0083615395
7.24	-0.0210058200
7.26	-0.0139698890
7.28	-0.0056083498
7.30	0.0054044100
7.32	0.0136639790
7.34	0.0271240190
7.36	0.0236570400
7.38	0.0080556298
7.40	-0.0008157600
7.42	0.0203939990
7.44	0.0443569480
7.46	0.0501692390
7.48	0.0194762700
7.50	0.0093812395
7.52	-0.0022433400
7.54	-0.0021413698
7.56	0.0053024396
7.58	0.0094832099
7.60	0.0260023490
7.62	0.0375249580
7.64	0.0535342480
7.66	0.0551657670
7.68	0.0433372480
7.70	0.0405840580
7.72	0.0570012300
7.74	0.0770893160
7.76	0.0372190490
7.78	0.0419096670
7.80	0.0099930598
7.82	-0.0208018790
7.84	-0.0253905290
7.86	-0.0412978490
7.88	-0.0421136080
7.90	-0.0480278670
7.92	-0.0441530080
7.94	-0.0467022580
7.96	-0.0058122896
7.98	0.0181506590
8.00	-0.0212097580
8.02	-0.0501692390
8.04	-0.0540440980
8.06	-0.0369131390
8.08	-0.0412978490
8.10	-0.0314067580
8.12	-0.0322225190
8.14	-0.0270220490
8.16	-0.0270220490
8.18	-0.0274299290
8.20	-0.0351796490
8.22	-0.0315087290
8.24	-0.0221274900
8.26	-0.0079536599
8.28	0.0088713895
8.30	0.0286535690
8.32	0.0316106990
8.34	0.0365052580
8.36	0.0347717670
8.38	0.0365052580
8.40	0.0292653900
8.42	0.0311008490
8.44	0.0114206390
8.46	0.0218215790
8.48	0.0138679200
8.50	0.0391564800
8.52	-0.0877961650
8.54	-0.1376595000
8.56	-0.1366398000
8.58	-0.1376595000
8.60	-0.1213443000
8.62	-0.1060488000
8.64	-0.0845331290
8.66	-0.0663824660
8.68	-0.0452746800
8.70	-0.0263082580
8.72	-0.0061181998
8.74	-0.0092792701
8.76	-0.0185585400
8.78	-0.0149895890
8.80	0.0086674497
8.82	0.0166211090
8.84	0.0050984998
8.86	0.0269200790
8.88	0.0593465390
8.90	0.0884079840
8.92	0.1223640000
8.94	0.1733489900
8.96	0.1131867000
8.98	-0.1121670000
9.00	-0.0373210170
9.02	-0.0453766480
9.04	-0.0240649200
9.06	-0.0978911970
9.08	-0.0668923160
9.10	-0.0608760890
9.12	-0.0683198980
9.14	-0.0562874390
9.16	-0.0027531900
9.18	0.0385446580
9.20	0.1091079000
9.22	0.1702898900
9.24	0.0965655840
9.26	0.0416037580
9.28	0.0680139850
9.30	0.0134600390
9.32	-0.0096871497
9.34	-0.0530243980
9.36	-0.0843291840
9.38	-0.1172655000
9.40	-0.1172655000
9.42	-0.0818819100
9.44	-0.0376269300
9.46	0.0029571300
9.48	0.0555736480
9.50	0.1203246000
9.52	0.1641716900
9.54	-0.0275318990
9.56	0.0034669800
9.58	-0.0057103197
9.60	0.0020393999
9.62	0.0148876200
9.64	0.0547578890
9.66	0.0813720600
9.68	-0.0209038490
9.70	-0.0601622980
9.72	-0.0172329290
9.74	-0.0178447490
9.76	-0.0028551599
9.78	0.0075457798
9.80	0.0389525390
9.82	0.0578169890
9.84	0.0767834100
9.86	0.0816779660
9.88	0.0603662390
9.90	0.0309988790
9.92	0.0023453099
